edge_start_node,edge_end_node,visible_segments
0,1,90;91;112;113;114
0,2,90;111;112;113;114
0,9,90;91;92;113;114
0,10,90;91;92;112;113;114
0,26,90;91;92;113;114
1,0,90;91;112;113;114
1,2,90;91;111;112;113;114
1,3,90;91;110;111;112;113;114
1,9,90;91;92;112;113;114
1,10,90;91;92;112;113;114
1,11,90;91;110;111;112;113;114
1,27,90;91;92;112;113;114
2,0,90;111;112;113;114
2,1,90;91;111;112;113;114
2,3,110;111;112;113;114
2,4,109;110;111;112;113;114
2,10,90;91;92;111;112;113;114
2,11,110;111;112;113;114
2,12,109;110;111;112;113;114
3,1,90;91;110;111;112;113;114
3,2,110;111;112;113;114
3,4,109;110;111;112;113;114
3,5,108;109;110;111;112;113;114
3,11,110;111;112;113;114
3,12,109;110;111;112;113;114
3,13,108;109;110;111;112;113;114
4,2,109;110;111;112;113;114
4,3,109;110;111;112;113;114
4,5,108;109;110;111;112;113;114
4,12,109;110;111;112;113;114
4,13,108;109;110;111;112;113;114
4,14,107;108;109;110;111;112;113;114
4,28,109;110;111;112;113;114
5,3,108;109;110;111;112;113;114
5,4,108;109;110;111;112;113;114
5,13,108;109;110;111;112;113;114
5,14,107;108;109;110;111;112;113
5,15,106;107;108;109;110;111;112
5,29,107;108;109;110;111;112;113
6,7,0;1;23;25
6,8,0;1;23;25
6,20,0;1;2;3
6,21,0;1;2;3
6,22,0;1;2;25
6,39,0;1;2;3;21
7,6,0;1;23;25
7,8,0;1;23;25
7,21,0;1;2;3;23;25
7,22,0;1;2;23;25
7,23,0;1;22;23;25
7,40,0;1;21;23;25
8,6,0;1;23;25
8,7,0;1;23;25
8,22,0;1;2;23;25
8,23,0;1;22;23;25
8,24,0;22;23;25
8,41,0;21;22;23;25
9,0,90;91;92;113;114
9,1,90;91;92;112;113;114
9,10,90;91;92;112;113;114
9,11,90;91;92;110;111;112;113;114
9,25,22;23;25;90;91;92
9,26,90;91;92
9,27,90;91;92
9,44,22;23;90;91;92
10,0,90;91;92;112;113;114
10,1,90;91;92;112;113;114
10,2,90;91;92;111;112;113;114
10,9,90;91;92;112;113;114
10,11,90;91;92;110;111;112;113;114
10,12,90;91;92;109;110;111;112;113;114
10,26,90;91;92;112;113;114
10,27,90;91;92;112;113;114
10,45,90;91;92;112;113;114
11,1,90;91;110;111;112;113;114
11,2,110;111;112;113;114
11,3,110;111;112;113;114
11,9,90;91;92;110;111;112;113;114
11,10,90;91;92;110;111;112;113;114
11,12,109;110;111;112;113;114
11,13,108;109;110;111;112;113;114
11,27,90;91;92;110;111;112;113;114
12,2,109;110;111;112;113;114
12,3,109;110;111;112;113;114
12,4,109;110;111;112;113;114
12,10,90;91;92;109;110;111;112;113;114
12,11,109;110;111;112;113;114
12,13,108;109;110;111;112;113;114
12,14,107;108;109;110;111;112;113;114
12,28,109;110;111;112;113;114
13,3,108;109;110;111;112;113;114
13,4,108;109;110;111;112;113;114
13,5,108;109;110;111;112;113;114
13,11,108;109;110;111;112;113;114
13,12,108;109;110;111;112;113;114
13,14,107;108;109;110;111;112;113;114
13,15,106;107;108;109;110;111;112;113;114
13,28,108;109;110;111;112;113;114
13,29,107;108;109;110;111;112;113;114
14,4,107;108;109;110;111;112;113;114
14,5,107;108;109;110;111;112;113
14,12,107;108;109;110;111;112;113;114
14,13,107;108;109;110;111;112;113;114
14,15,106;107;108;109;110;111;112;113
14,16,105;106;107;108;109;110;111;112;113
14,28,107;108;109;110;111;112;113
14,29,107;108;109;110;111;112;113
14,30,105;106;107;108;109;110;111;112;113
15,5,106;107;108;109;110;111;112
15,13,106;107;108;109;110;111;112;113;114
15,14,106;107;108;109;110;111;112;113
15,16,105;106;107;108;109;110;111
15,17,105;106;107;108;109;110;111
15,29,106;107;108;109;110;111;112;113
