Node,X,Y
0,555607.314079,4806758.223040
1,555604.878879,4806748.524081
2,555592.744720,4806741.260323
3,555580.610561,4806733.996564
4,555570.911602,4806736.431764
5,555558.777443,4806729.168006
6,555546.643285,4806721.904247
7,555544.208084,4806712.205289
8,555541.772884,4806702.506330
9,555549.036643,4806690.372171
10,555546.601443,4806680.673212
11,555544.166242,4806670.974254
12,555532.032084,4806663.710495
13,555519.897925,4806656.446737
14,555510.198966,4806658.881937
15,555498.064807,4806651.618178
16,555488.365848,4806654.053378
17,555481.102090,4806666.187537
18,555473.838331,4806678.321696
19,555466.574573,4806690.455855
20,555469.009773,4806700.154814
21,555471.444973,4806709.853772
22,555483.579132,4806717.117531
23,555486.014332,4806726.816490
24,555498.148491,4806734.080248
25,555500.583691,4806743.779207
26,555493.319933,4806755.913366
27,555495.755133,4806765.612324
28,555498.190333,4806775.311283
29,555507.889292,4806772.876083
30,555505.454091,4806763.177124
31,555515.153050,4806760.741924
32,555522.416809,4806748.607765
33,555519.981609,4806738.908807
34,555517.546408,4806729.209848
35,555505.412250,4806721.946089
36,555502.977049,4806712.247131
37,555500.541849,4806702.548172
38,555493.278091,4806714.682331
39,555483.579132,4806717.117531
40,555473.880173,4806719.552731
41,555466.616415,4806731.686890
42,555456.917456,4806734.122090
43,555449.653697,4806746.256249
44,555452.088898,4806755.955208
45,555444.825139,4806768.089367
46,555447.260339,4806777.788325
47,555449.695539,4806787.487284
48,555452.130739,4806797.186243
49,555464.264898,4806804.450001
50,555473.963857,4806802.014801
51,555486.098016,4806809.278560
52,555495.796975,4806806.843359
53,555505.495933,4806804.408159
54,555515.194892,4806801.972959
55,555522.458651,4806789.838800
56,555524.893851,4806799.537759
57,555537.028010,4806806.801518
58,555539.463210,4806816.500476
59,555551.597369,4806823.764235
60,555561.296327,4806821.329035
61,555570.995286,4806818.893835
62,555578.259045,4806806.759676
63,555597.656962,4806801.889275
64,555595.221762,4806792.190317
65,555602.485521,4806780.056158
66,555600.050320,4806770.357199
67,555607.314079,4806758.223040
