segment_idx,visible_edges
0,
1,"80,82;81,82;81,83;82,80;82,81;82,83;82,96;82,97;82,109;83,81;83,82;97,82;109,82"
2,"80,82;81,82;81,83;82,80;82,81;82,83;82,96;82,97;82,109;83,81;83,82;97,82;109,82"
3,"80,82;81,82;81,83;82,80;82,81;82,83;82,96;82,97;82,109;83,81;83,82;97,82;109,82"
4,"80,82;81,82;81,83;82,80;82,81;82,83;82,96;82,97;82,109;83,81;83,82;97,82;109,82"
5,"80,82;81,82;81,83;81,97;82,80;82,81;82,83;82,96;82,97;82,109;83,81;83,82;96,82;97,81;97,82;109,82"
6,"79,81;80,81;80,82;81,79;81,80;81,82;81,83;81,95;81,96;81,97;81,108;82,80;82,81;82,83;82,96;82,97;82,109;83,81;83,82;96,81;96,82;97,81;97,82;108,81;109,82"
7,"79,81;80,81;80,82;80,96;81,79;81,80;81,82;81,83;81,95;81,96;81,97;81,108;82,80;82,81;82,96;83,81;95,81;96,80;96,81;96,82;97,81;108,81"
8,"78,80;79,80;79,81;80,78;80,79;80,81;80,82;80,94;80,95;80,96;80,107;81,79;81,80;81,82;81,83;81,95;81,96;81,97;81,108;82,80;82,81;83,81;95,80;95,81;96,80;96,81;97,81;107,80;108,81"
9,"78,80;79,80;79,81;79,95;80,78;80,79;80,81;80,82;80,94;80,95;80,96;80,107;81,79;81,80;81,95;82,80;94,80;95,79;95,80;95,81;96,80;107,80"
10,"77,79;78,79;78,80;79,68;79,77;79,78;79,80;79,81;79,93;79,94;79,95;80,78;80,79;80,81;80,82;80,94;80,95;80,96;80,107;81,79;81,80;82,80;94,79;94,80;95,79;95,80;96,80;107,80"
11,"68,79;77,79;78,79;78,80;78,94;79,68;79,77;79,78;79,80;79,81;79,93;79,94;79,95;80,78;80,79;80,94;81,79;93,79;94,78;94,79;94,80;95,79"
12,"43,68;57,68;58,67;58,68;58,78;66,68;67,58;67,68;68,43;68,57;68,58;68,66;68,67;68,78;68,79;68,93;78,58;78,68;79,68;93,68"
