# Selected edges with coordinates
# Format: Edge N: (X1,Y1) (X2,Y2)
Edge 1: (555461.0526,4806666.8851) (555468.3164,4806679.0192)
Edge 2: (555473.1868,4806659.6213) (555461.0526,4806666.8851)
Edge 3: (555468.3164,4806679.0192) (555465.8812,4806688.7182)
Edge 4: (555465.8812,4806688.7182) (555463.4460,4806698.4172)
Edge 5: (555463.4460,4806698.4172) (555470.7098,4806710.5513)
Edge 6: (555456.1404,4806727.5140) (555451.2700,4806746.9119)
Edge 7: (555451.2700,4806746.9119) (555448.8348,4806756.6109)
Edge 8: (555448.8348,4806756.6109) (555446.3996,4806766.3099)
Edge 9: (555446.3996,4806766.3099) (555443.9644,4806776.0088)
Edge 10: (555443.9644,4806776.0088) (555451.2282,4806788.1430)
Edge 11: (555482.8858,4806662.0565) (555473.1868,4806659.6213)
Edge 12: (555470.7098,4806710.5513) (555480.4087,4806712.9865)
Edge 13: (555468.2746,4806720.2503) (555456.1404,4806727.5140)
Edge 14: (555451.2282,4806788.1430) (555458.4919,4806800.2771)
Edge 15: (555495.0199,4806654.7928) (555482.8858,4806662.0565)
Edge 16: (555480.4087,4806712.9865) (555492.5429,4806705.7228)
Edge 17: (555477.9735,4806722.6855) (555468.2746,4806720.2503)
Edge 18: (555458.4919,4806800.2771) (555477.8898,4806805.1475)
Edge 19: (555504.7189,4806657.2280) (555495.0199,4806654.7928)
Edge 20: (555492.5429,4806705.7228) (555504.6770,4806698.4590)
Edge 21: (555487.6725,4806725.1207) (555477.9735,4806722.6855)
Edge 22: (555514.4178,4806659.6632) (555504.7189,4806657.2280)
Edge 23: (555504.6770,4806698.4590) (555502.2418,4806708.1580)
Edge 24: (555502.2418,4806708.1580) (555509.5056,4806720.2921)
Edge 25: (555494.9362,4806737.2548) (555487.6725,4806725.1207)
Edge 26: (555492.5010,4806746.9538) (555494.9362,4806737.2548)
Edge 27: (555490.0658,4806756.6527) (555492.5010,4806746.9538)
Edge 28: (555487.6306,4806766.3517) (555490.0658,4806756.6527)
Edge 29: (555477.8898,4806805.1475) (555497.2878,4806810.0179)
Edge 30: (555509.5056,4806720.2921) (555519.2046,4806722.7273)
Edge 31: (555497.3296,4806768.7869) (555487.6306,4806766.3517)
Edge 32: (555533.8158,4806664.5336) (555514.4178,4806659.6632)
Edge 33: (555519.2046,4806722.7273) (555526.4683,4806734.8615)
Edge 34: (555507.0286,4806771.2221) (555497.3296,4806768.7869)
Edge 35: (555497.2878,4806810.0179) (555509.4219,4806802.7542)
Edge 36: (555541.0795,4806676.6677) (555533.8158,4806664.5336)
Edge 37: (555526.4683,4806734.8615) (555524.0331,4806744.5604)
Edge 38: (555524.0331,4806744.5604) (555519.1627,4806763.9583)
Edge 39: (555519.1627,4806763.9583) (555507.0286,4806771.2221)
Edge 40: (555509.4219,4806802.7542) (555521.5561,4806795.4904)
Edge 41: (555548.3433,4806688.8019) (555541.0795,4806676.6677)
Edge 42: (555545.9081,4806698.5008) (555548.3433,4806688.8019)
Edge 43: (555541.0377,4806717.8988) (555545.9081,4806698.5008)
Edge 44: (555521.5561,4806795.4904) (555528.8198,4806807.6246)
Edge 45: (555548.3014,4806730.0329) (555541.0377,4806717.8988)
Edge 46: (555528.8198,4806807.6246) (555538.5188,4806810.0598)
Edge 47: (555538.5188,4806810.0598) (555548.2177,4806812.4950)
Edge 48: (555567.6994,4806734.9033) (555548.3014,4806730.0329)
Edge 49: (555548.2177,4806812.4950) (555557.9167,4806814.9302)
Edge 50: (555577.3983,4806737.3385) (555567.6994,4806734.9033)
Edge 51: (555557.9167,4806814.9302) (555570.0509,4806807.6664)
Edge 52: (555570.0509,4806807.6664) (555579.7498,4806810.1016)
Edge 53: (555596.7962,4806742.2089) (555577.3983,4806737.3385)
Edge 54: (555579.7498,4806810.1016) (555591.8840,4806802.8379)
Edge 55: (555604.0600,4806754.3431) (555596.7962,4806742.2089)
Edge 56: (555601.6248,4806764.0420) (555604.0600,4806754.3431)
Edge 57: (555599.1896,4806773.7410) (555601.6248,4806764.0420)
Edge 58: (555596.7544,4806783.4399) (555599.1896,4806773.7410)
Edge 59: (555594.3192,4806793.1389) (555596.7544,4806783.4399)
Edge 60: (555591.8840,4806802.8379) (555594.3192,4806793.1389)
