# Each line: X1,Y1,X2,Y2 for each selected edge
555461.052647,4806666.885075,555468.316405,4806679.019234
555473.186806,4806659.621317,555461.052647,4806666.885075
555468.316405,4806679.019234,555465.881205,4806688.718193
555465.881205,4806688.718193,555463.446005,4806698.417152
555463.446005,4806698.417152,555470.709764,4806710.551311
555456.140405,4806727.514028,555451.270004,4806746.911945
555451.270004,4806746.911945,555448.834804,4806756.610904
555448.834804,4806756.610904,555446.399604,4806766.309863
555446.399604,4806766.309863,555443.964404,4806776.008822
555443.964404,4806776.008822,555451.228162,4806788.142980
555482.885765,4806662.056517,555473.186806,4806659.621317
555470.709764,4806710.551311,555480.408722,4806712.986511
555468.274564,4806720.250269,555456.140405,4806727.514028
555451.228162,4806788.142980,555458.491921,4806800.277139
555495.019923,4806654.792759,555482.885765,4806662.056517
555480.408722,4806712.986511,555492.542881,4806705.722752
555477.973522,4806722.685470,555468.274564,4806720.250269
555458.491921,4806800.277139,555477.889838,4806805.147540
555504.718882,4806657.227959,555495.019923,4806654.792759
555492.542881,4806705.722752,555504.677040,4806698.458994
555487.672481,4806725.120670,555477.973522,4806722.685470
555514.417841,4806659.663159,555504.718882,4806657.227959
555504.677040,4806698.458994,555502.241840,4806708.157952
555502.241840,4806708.157952,555509.505599,4806720.292111
555494.936240,4806737.254829,555487.672481,4806725.120670
555492.501039,4806746.953787,555494.936240,4806737.254829
555490.065839,4806756.652746,555492.501039,4806746.953787
555487.630639,4806766.351705,555490.065839,4806756.652746
555477.889838,4806805.147540,555497.287756,4806810.017940
555509.505599,4806720.292111,555519.204557,4806722.727311
555497.329598,4806768.786905,555487.630639,4806766.351705
555533.815758,4806664.533559,555514.417841,4806659.663159
555519.204557,4806722.727311,555526.468316,4806734.861470
555507.028557,4806771.222105,555497.329598,4806768.786905
555497.287756,4806810.017940,555509.421915,4806802.754181
555541.079517,4806676.667718,555533.815758,4806664.533559
555526.468316,4806734.861470,555524.033116,4806744.560429
555524.033116,4806744.560429,555519.162715,4806763.958346
555519.162715,4806763.958346,555507.028557,4806771.222105
555509.421915,4806802.754181,555521.556074,4806795.490423
555548.343275,4806688.801877,555541.079517,4806676.667718
555545.908075,4806698.500836,555548.343275,4806688.801877
555541.037675,4806717.898753,555545.908075,4806698.500836
555521.556074,4806795.490423,555528.819832,4806807.624582
555548.301433,4806730.032912,555541.037675,4806717.898753
555528.819832,4806807.624582,555538.518791,4806810.059782
555538.518791,4806810.059782,555548.217750,4806812.494982
555567.699351,4806734.903312,555548.301433,4806730.032912
555548.217750,4806812.494982,555557.916708,4806814.930182
555577.398310,4806737.338512,555567.699351,4806734.903312
555557.916708,4806814.930182,555570.050867,4806807.666424
555570.050867,4806807.666424,555579.749826,4806810.101624
555596.796227,4806742.208913,555577.398310,4806737.338512
555579.749826,4806810.101624,555591.883985,4806802.837865
555604.059986,4806754.343072,555596.796227,4806742.208913
555601.624785,4806764.042030,555604.059986,4806754.343072
555599.189585,4806773.740989,555601.624785,4806764.042030
555596.754385,4806783.439948,555599.189585,4806773.740989
555594.319185,4806793.138906,555596.754385,4806783.439948
555591.883985,4806802.837865,555594.319185,4806793.138906
