EdgeID,Node1,X1,Y1,Node2,X2,Y2
1,2,555461.052647,4806666.885075,19,555468.316405,4806679.019234
2,18,555473.186806,4806659.621317,2,555461.052647,4806666.885075
3,19,555468.316405,4806679.019234,20,555465.881205,4806688.718193
4,20,555465.881205,4806688.718193,21,555463.446005,4806698.417152
5,21,555463.446005,4806698.417152,40,555470.709764,4806710.551311
6,24,555456.140405,4806727.514028,26,555451.270004,4806746.911945
7,26,555451.270004,4806746.911945,27,555448.834804,4806756.610904
8,27,555448.834804,4806756.610904,28,555446.399604,4806766.309863
9,28,555446.399604,4806766.309863,29,555443.964404,4806776.008822
10,29,555443.964404,4806776.008822,48,555451.228162,4806788.142980
11,35,555482.885765,4806662.056517,18,555473.186806,4806659.621317
12,40,555470.709764,4806710.551311,54,555480.408722,4806712.986511
13,41,555468.274564,4806720.250269,24,555456.140405,4806727.514028
14,48,555451.228162,4806788.142980,57,555458.491921,4806800.277139
15,52,555495.019923,4806654.792759,35,555482.885765,4806662.056517
16,54,555480.408722,4806712.986511,63,555492.542881,4806705.722752
17,55,555477.973522,4806722.685470,41,555468.274564,4806720.250269
18,57,555458.491921,4806800.277139,83,555477.889838,4806805.147540
19,60,555504.718882,4806657.227959,52,555495.019923,4806654.792759
20,63,555492.542881,4806705.722752,73,555504.677040,4806698.458994
21,65,555487.672481,4806725.120670,55,555477.973522,4806722.685470
22,71,555514.417841,4806659.663159,60,555504.718882,4806657.227959
23,73,555504.677040,4806698.458994,74,555502.241840,4806708.157952
24,74,555502.241840,4806708.157952,90,555509.505599,4806720.292111
25,77,555494.936240,4806737.254829,65,555487.672481,4806725.120670
26,78,555492.501039,4806746.953787,77,555494.936240,4806737.254829
27,79,555490.065839,4806756.652746,78,555492.501039,4806746.953787
28,80,555487.630639,4806766.351705,79,555490.065839,4806756.652746
29,83,555477.889838,4806805.147540,107,555497.287756,4806810.017940
30,90,555509.505599,4806720.292111,102,555519.204557,4806722.727311
31,95,555497.329598,4806768.786905,80,555487.630639,4806766.351705
32,100,555533.815758,4806664.533559,71,555514.417841,4806659.663159
33,102,555519.204557,4806722.727311,117,555526.468316,4806734.861470
34,105,555507.028557,4806771.222105,95,555497.329598,4806768.786905
35,107,555497.287756,4806810.017940,124,555509.421915,4806802.754181
36,111,555541.079517,4806676.667718,100,555533.815758,4806664.533559
37,117,555526.468316,4806734.861470,118,555524.033116,4806744.560429
38,118,555524.033116,4806744.560429,120,555519.162715,4806763.958346
39,120,555519.162715,4806763.958346,105,555507.028557,4806771.222105
40,124,555509.421915,4806802.754181,139,555521.556074,4806795.490423
41,130,555548.343275,4806688.801877,111,555541.079517,4806676.667718
42,131,555545.908075,4806698.500836,130,555548.343275,4806688.801877
43,133,555541.037675,4806717.898753,131,555545.908075,4806698.500836
44,139,555521.556074,4806795.490423,153,555528.819832,4806807.624582
45,149,555548.301433,4806730.032912,133,555541.037675,4806717.898753
46,153,555528.819832,4806807.624582,159,555538.518791,4806810.059782
47,159,555538.518791,4806810.059782,165,555548.217750,4806812.494982
48,163,555567.699351,4806734.903312,149,555548.301433,4806730.032912
49,165,555548.217750,4806812.494982,171,555557.916708,4806814.930182
50,169,555577.398310,4806737.338512,163,555567.699351,4806734.903312
51,171,555557.916708,4806814.930182,178,555570.050867,4806807.666424
52,178,555570.050867,4806807.666424,186,555579.749826,4806810.101624
53,183,555596.796227,4806742.208913,169,555577.398310,4806737.338512
54,186,555579.749826,4806810.101624,196,555591.883985,4806802.837865
55,191,555604.059986,4806754.343072,183,555596.796227,4806742.208913
56,192,555601.624785,4806764.042030,191,555604.059986,4806754.343072
57,193,555599.189585,4806773.740989,192,555601.624785,4806764.042030
58,194,555596.754385,4806783.439948,193,555599.189585,4806773.740989
59,195,555594.319185,4806793.138906,194,555596.754385,4806783.439948
60,196,555591.883985,4806802.837865,195,555594.319185,4806793.138906
