# Selected edges with node coordinates
# Format: Selected edge N: (X1,Y1) (X2,Y2)
Selected edge 1: (-6.000000,6.000000) (-6.000000,14.000000)
Selected edge 2: (-6.000000,14.000000) (-6.000000,22.000000)
Selected edge 3: (-6.000000,22.000000) (-6.000000,30.000000)
Selected edge 4: (-6.000000,30.000000) (-6.000000,38.000000)
Selected edge 5: (-6.000000,38.000000) (-6.000000,46.000000)
Selected edge 6: (-6.000000,46.000000) (2.000000,54.000000)
Selected edge 7: (2.000000,-2.000000) (-6.000000,6.000000)
Selected edge 8: (2.000000,54.000000) (10.000000,54.000000)
Selected edge 9: (10.000000,-2.000000) (2.000000,-2.000000)
Selected edge 10: (10.000000,54.000000) (18.000000,46.000000)
Selected edge 11: (18.000000,6.000000) (10.000000,-2.000000)
Selected edge 12: (18.000000,46.000000) (26.000000,54.000000)
Selected edge 13: (26.000000,-2.000000) (18.000000,6.000000)
Selected edge 14: (26.000000,54.000000) (34.000000,54.000000)
Selected edge 15: (34.000000,-2.000000) (26.000000,-2.000000)
Selected edge 16: (34.000000,54.000000) (42.000000,54.000000)
Selected edge 17: (42.000000,-2.000000) (34.000000,-2.000000)
Selected edge 18: (42.000000,22.000000) (50.000000,14.000000)
Selected edge 19: (42.000000,30.000000) (42.000000,22.000000)
Selected edge 20: (42.000000,38.000000) (42.000000,30.000000)
Selected edge 21: (42.000000,54.000000) (50.000000,46.000000)
Selected edge 22: (50.000000,6.000000) (42.000000,-2.000000)
Selected edge 23: (50.000000,14.000000) (50.000000,6.000000)
Selected edge 24: (50.000000,14.000000) (58.000000,22.000000)
Selected edge 25: (50.000000,46.000000) (42.000000,38.000000)
Selected edge 26: (50.000000,46.000000) (58.000000,54.000000)
Selected edge 27: (58.000000,-2.000000) (58.000000,6.000000)
Selected edge 28: (58.000000,6.000000) (50.000000,14.000000)
Selected edge 29: (58.000000,22.000000) (58.000000,30.000000)
Selected edge 30: (58.000000,30.000000) (58.000000,38.000000)
Selected edge 31: (58.000000,38.000000) (50.000000,46.000000)
Selected edge 32: (58.000000,54.000000) (66.000000,54.000000)
Selected edge 33: (66.000000,-2.000000) (58.000000,-2.000000)
Selected edge 34: (66.000000,54.000000) (74.000000,54.000000)
Selected edge 35: (74.000000,6.000000) (66.000000,-2.000000)
Selected edge 36: (74.000000,54.000000) (82.000000,46.000000)
Selected edge 37: (82.000000,6.000000) (74.000000,6.000000)
Selected edge 38: (82.000000,46.000000) (90.000000,54.000000)
Selected edge 39: (90.000000,-2.000000) (82.000000,6.000000)
Selected edge 40: (90.000000,54.000000) (98.000000,54.000000)
Selected edge 41: (98.000000,-2.000000) (90.000000,-2.000000)
Selected edge 42: (98.000000,30.000000) (106.000000,22.000000)
Selected edge 43: (98.000000,54.000000) (106.000000,46.000000)
Selected edge 44: (106.000000,6.000000) (98.000000,-2.000000)
Selected edge 45: (106.000000,14.000000) (106.000000,6.000000)
Selected edge 46: (106.000000,22.000000) (106.000000,14.000000)
Selected edge 47: (106.000000,38.000000) (98.000000,30.000000)
Selected edge 48: (106.000000,46.000000) (106.000000,38.000000)
