# Detailed selected edges information
# Format: Selected edge N: Node1_ID(X1,Y1) -> Node2_ID(X2,Y2)
Selected edge 1: Node_26(-6.000000,6.000000) -> Node_27(-6.000000,14.000000)
Selected edge 2: Node_27(-6.000000,14.000000) -> Node_28(-6.000000,22.000000)
Selected edge 3: Node_28(-6.000000,22.000000) -> Node_29(-6.000000,30.000000)
Selected edge 4: Node_29(-6.000000,30.000000) -> Node_30(-6.000000,38.000000)
Selected edge 5: Node_30(-6.000000,38.000000) -> Node_31(-6.000000,46.000000)
Selected edge 6: Node_31(-6.000000,46.000000) -> Node_41(2.000000,54.000000)
Selected edge 7: Node_38(2.000000,-2.000000) -> Node_26(-6.000000,6.000000)
Selected edge 8: Node_41(2.000000,54.000000) -> Node_49(10.000000,54.000000)
Selected edge 9: Node_47(10.000000,-2.000000) -> Node_38(2.000000,-2.000000)
Selected edge 10: Node_49(10.000000,54.000000) -> Node_57(18.000000,46.000000)
Selected edge 11: Node_56(18.000000,6.000000) -> Node_47(10.000000,-2.000000)
Selected edge 12: Node_57(18.000000,46.000000) -> Node_67(26.000000,54.000000)
Selected edge 13: Node_64(26.000000,-2.000000) -> Node_56(18.000000,6.000000)
Selected edge 14: Node_67(26.000000,54.000000) -> Node_74(34.000000,54.000000)
Selected edge 15: Node_73(34.000000,-2.000000) -> Node_64(26.000000,-2.000000)
Selected edge 16: Node_74(34.000000,54.000000) -> Node_87(42.000000,54.000000)
Selected edge 17: Node_80(42.000000,-2.000000) -> Node_73(34.000000,-2.000000)
Selected edge 18: Node_83(42.000000,22.000000) -> Node_95(50.000000,14.000000)
Selected edge 19: Node_84(42.000000,30.000000) -> Node_83(42.000000,22.000000)
Selected edge 20: Node_85(42.000000,38.000000) -> Node_84(42.000000,30.000000)
Selected edge 21: Node_87(42.000000,54.000000) -> Node_98(50.000000,46.000000)
Selected edge 22: Node_94(50.000000,6.000000) -> Node_80(42.000000,-2.000000)
Selected edge 23: Node_95(50.000000,14.000000) -> Node_94(50.000000,6.000000)
Selected edge 24: Node_95(50.000000,14.000000) -> Node_108(58.000000,22.000000)
Selected edge 25: Node_98(50.000000,46.000000) -> Node_85(42.000000,38.000000)
Selected edge 26: Node_98(50.000000,46.000000) -> Node_112(58.000000,54.000000)
Selected edge 27: Node_105(58.000000,-2.000000) -> Node_106(58.000000,6.000000)
Selected edge 28: Node_106(58.000000,6.000000) -> Node_95(50.000000,14.000000)
Selected edge 29: Node_108(58.000000,22.000000) -> Node_109(58.000000,30.000000)
Selected edge 30: Node_109(58.000000,30.000000) -> Node_110(58.000000,38.000000)
Selected edge 31: Node_110(58.000000,38.000000) -> Node_98(50.000000,46.000000)
Selected edge 32: Node_112(58.000000,54.000000) -> Node_119(66.000000,54.000000)
Selected edge 33: Node_118(66.000000,-2.000000) -> Node_105(58.000000,-2.000000)
Selected edge 34: Node_119(66.000000,54.000000) -> Node_128(74.000000,54.000000)
Selected edge 35: Node_126(74.000000,6.000000) -> Node_118(66.000000,-2.000000)
Selected edge 36: Node_128(74.000000,54.000000) -> Node_136(82.000000,46.000000)
Selected edge 37: Node_135(82.000000,6.000000) -> Node_126(74.000000,6.000000)
Selected edge 38: Node_136(82.000000,46.000000) -> Node_144(90.000000,54.000000)
Selected edge 39: Node_143(90.000000,-2.000000) -> Node_135(82.000000,6.000000)
Selected edge 40: Node_144(90.000000,54.000000) -> Node_153(98.000000,54.000000)
Selected edge 41: Node_150(98.000000,-2.000000) -> Node_143(90.000000,-2.000000)
Selected edge 42: Node_152(98.000000,30.000000) -> Node_162(106.000000,22.000000)
Selected edge 43: Node_153(98.000000,54.000000) -> Node_165(106.000000,46.000000)
Selected edge 44: Node_160(106.000000,6.000000) -> Node_150(98.000000,-2.000000)
Selected edge 45: Node_161(106.000000,14.000000) -> Node_160(106.000000,6.000000)
Selected edge 46: Node_162(106.000000,22.000000) -> Node_161(106.000000,14.000000)
Selected edge 47: Node_164(106.000000,38.000000) -> Node_152(98.000000,30.000000)
Selected edge 48: Node_165(106.000000,46.000000) -> Node_164(106.000000,38.000000)
