edge_start_node,edge_end_node,visible_segments,segment_count
0,1,,0
0,11,,0
0,12,,0
0,13,42,1
1,0,,0
1,2,,0
1,12,,0
1,13,42,1
1,14,41;42,2
2,1,,0
2,3,,0
2,13,42,1
2,14,41;42,2
2,15,41;42,2
3,2,,0
3,4,,0
3,14,41;42,2
3,15,41;42,2
3,16,41;37;38,3
4,3,,0
4,5,,0
4,15,41;42,2
4,16,41;37;38,3
4,17,33;36,2
5,4,,0
5,6,,0
5,16,41;37;38,3
5,17,33;36,2
5,18,32;33,2
6,5,,0
6,7,,0
6,17,33;36,2
6,18,32;33,2
6,19,32;33,2
7,6,,0
7,8,,0
7,18,32;33,2
7,19,32;33,2
7,20,32,1
8,7,,0
8,9,,0
8,19,32;33,2
8,20,32,1
8,21,,0
9,8,,0
9,10,,0
9,20,32,1
9,21,,0
9,22,,0
10,9,,0
10,21,,0
10,22,,0
11,0,,0
11,12,,0
11,23,,0
11,24,0,1
12,0,,0
12,1,,0
12,11,,0
12,13,42,1
12,23,,0
12,24,0,1
12,25,,0
13,0,42,1
13,1,42,1
13,2,42,1
13,12,42,1
13,14,41;42,2
13,24,0;42,2
13,25,41;42,2
13,26,41;2;42,3
14,1,41;42,2
14,2,41;42,2
14,3,41;42,2
14,13,41;42,2
14,15,41;42,2
14,25,41;42;2,3
14,26,41;2;42,3
14,27,1;2;38;41;42,5
15,2,41;42,2
15,3,41;42,2
15,4,41;42,2
15,14,41;42,2
15,16,41;42;37;38,4
15,26,1;2;38;41;42,5
15,27,1;2;37;38;41;42,6
15,28,36;37;38;41;42,5
16,3,41;37;38,3
16,4,41;37;38,3
16,5,41;37;38,3
16,15,41;42;37;38,4
16,17,33;36;37;38;41,5
16,27,1;2;37;38;41,5
16,28,41;36;37;38,4
16,29,41;36;37;38,4
17,4,33;36,2
17,5,33;36,2
17,6,33;36,2
17,16,33;36;37;38;41,5
17,18,32;33;36,3
17,28,33;36;37;38,4
17,29,33;36;37;38,4
17,30,33;36;37,3
18,5,32;33,2
18,6,32;33,2
18,7,32;33,2
18,17,32;33;36,3
18,19,32;33,2
18,29,32;33;36;37;38,5
18,30,32;33;36;37,4
18,31,32;33,2
19,6,32;33,2
19,7,32;33,2
19,8,32;33,2
19,18,32;33,2
19,20,32;33,2
19,30,32;33;36,3
19,31,32;33,2
19,32,32;33;34,3
20,7,32,1
20,8,32,1
20,9,32,1
20,19,32;33,2
20,21,32,1
20,31,32;33,2
20,32,32;34,2
20,33,32;30,2
21,8,,0
21,9,,0
21,10,,0
21,20,32,1
21,22,,0
21,32,34,1
21,33,30,1
21,34,,0
22,9,,0
22,10,,0
22,21,,0
22,33,30,1
22,34,,0
22,35,,0
23,11,,0
23,12,,0
23,24,0,1
23,36,,0
23,37,0,1
24,11,0,1
24,12,0,1
24,13,0;42,2
24,23,0,1
24,25,0,1
24,36,0,1
24,37,0,1
24,38,0;3,2
25,12,,0
25,13,41;42,2
25,14,41;42;2,3
25,24,0,1
25,26,41;2;42;39,4
25,37,0,1
25,38,0;3,2
26,13,41;2;42,3
26,14,41;2;42,3
26,15,1;2;38;41;42,5
26,25,41;2;42;39,4
26,27,1;2;38;41;42,5
26,38,0;2;3;39;41;42,6
