segment_idx,visible_edges,edge_count
0,"11,24;12,24;13,24;23,24;23,37;24,11;24,12;24,13;24,23;24,25;24,36;24,37;24,38;25,24;25,37;25,38;26,38;36,24;36,37;36,46;37,23;37,24;37,25;37,36;37,38;37,45;37,46;37,47;38,24;38,25;38,26;38,37;38,46;38,47;45,37;45,46;46,36;46,37;46,38;46,45;46,47;46,53;46,54;47,37;47,38;47,46;53,46;54,46",48
1,"14,27;15,26;15,27;16,27;26,15;26,27;27,14;27,15;27,16;27,26;27,28;27,39;28,27;28,39;29,39;39,27;39,28;39,29;39,40;40,39",20
2,"13,26;14,25;14,26;14,27;15,26;15,27;16,27;25,14;25,26;26,13;26,14;26,15;26,25;26,27;26,38;27,14;27,15;27,16;27,26;27,28;27,39;28,27;28,39;38,26;39,27;39,28",26
3,"24,38;25,38;26,38;37,38;37,47;38,24;38,25;38,26;38,37;38,46;38,47;46,38;46,47;47,37;47,38;47,46;47,48;47,55;47,56;48,47;48,55;48,56;55,47;55,48;55,56;55,63;55,64;55,65;56,47;56,48;56,55;63,55;64,55;65,55",34
4,"37,47;38,47;46,47;47,37;47,38;47,46;47,48;47,55;47,56;48,47;48,55;48,56;55,47;55,48;55,56;55,63;55,64;55,65;56,47;56,48;56,55;56,64;56,65;63,55;63,64;64,55;64,56;64,63;64,65;64,72;64,73;65,55;65,56;65,64;72,64;73,64",36
5,"37,47;38,47;46,47;47,37;47,38;47,46;47,48;47,55;47,56;48,47;48,55;48,56;55,47;55,48;55,56;55,63;55,64;55,65;56,47;56,48;56,55;56,64;56,65;63,55;63,64;63,73;64,55;64,56;64,63;64,65;64,72;64,73;65,55;65,56;65,64;72,64;72,73;73,63;73,64;73,72",40
6,,0
7,"47,48;47,55;47,56;48,47;48,55;48,56;55,47;55,48;55,56;55,63;55,64;55,65;56,47;56,48;56,55;56,64;56,65;63,55;64,55;64,56;64,65;65,55;65,56;65,64",24
8,"53,63;54,63;55,63;55,64;56,64;62,63;62,72;63,53;63,54;63,55;63,62;63,64;63,71;63,72;63,73;64,55;64,56;64,63;64,65;64,72;64,73;65,64;71,63;71,72;71,79;72,62;72,63;72,64;72,71;72,73;72,78;72,79;72,80;73,63;73,64;73,72;73,79;73,80;78,72;78,79;79,71;79,72;79,73;79,78;79,80;79,91;79,92;79,93;80,72;80,73;80,79;92,79;93,79",53
9,"53,63;54,63;55,63;62,63;62,72;63,53;63,54;63,55;63,62;63,64;63,71;63,72;63,73;64,63;64,72;64,73;71,63;71,72;71,79;72,62;72,63;72,64;72,71;72,73;72,78;72,79;72,80;73,63;73,64;73,72;73,79;73,80;78,72;78,79;79,71;79,72;79,73;79,78;79,80;79,91;79,92;79,93;80,72;80,73;80,79;91,79;92,79;93,79",48
